Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
;;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
0807000;Powiat sulêciñski;-;-;-;-;-;-;-;-;-;-;-;-;6;3;6;4;7;6;2;6;3;4
0808000;Powiat œwiebodziñski;-;-;-;-;-;-;-;-;-;-;-;-;21;7;6;6;2;13;11;6;10;3
0809000;Powiat zielonogórski;-;-;-;-;-;-;-;-;-;-;-;-;12;21;9;16;10;18;5;8;8;6
0810000;Powiat ¿agañski;-;-;-;-;-;-;-;-;-;-;-;-;2;4;6;8;10;14;7;7;1;7
0811000;Powiat ¿arski;-;-;-;-;-;-;-;-;-;-;-;-;9;11;6;5;6;3;8;11;11;3
0812000;Powiat wschowski;-;-;-;-;-;-;-;-;-;-;-;-;5;4;3;2;2;6;1;3;1;3
0861000;Powiat m.Gorzów Wielkopolski;-;-;-;-;-;-;-;-;-;-;-;-;3;5;8;4;4;8;3;1;4;5
0862000;Powiat m.Zielona Góra;-;-;-;-;-;-;-;-;-;-;-;-;2;1;0;4;9;6;5;2;4;3
1000000;£ÓDZKIE;476;505;452;509;493;440;444;415;447;439;347;320;324;296;263;256;236;214;219;229;239;221
1001000;Powiat be³chatowski;-;-;-;-;-;-;-;-;-;-;-;-;23;18;15;18;17;14;10;12;11;10
1002000;Powiat kutnowski;-;-;-;-;-;-;-;-;-;-;-;-;16;14;8;9;7;11;15;18;11;21
1003000;Powiat ³aski;-;-;-;-;-;-;-;-;-;-;-;-;6;10;8;8;3;12;4;3;9;3
1004000;Powiat ³êczycki;-;-;-;-;-;-;-;-;-;-;-;-;14;11;13;9;7;4;5;5;8;5
1005000;Powiat ³owicki;-;-;-;-;-;-;-;-;-;-;-;-;16;12;9;11;14;10;8;10;10;5
1006000;Powiat ³ódzki wschodni;-;-;-;-;-;-;-;-;-;-;-;-;5;11;8;14;13;7;14;12;6;9
1007000;Powiat opoczyñski;-;-;-;-;-;-;-;-;-;-;-;-;11;7;11;6;5;8;11;12;11;8
1008000;Powiat pabianicki;-;-;-;-;-;-;-;-;-;-;-;-;16;14;7;9;9;14;4;6;8;12
1009000;Powiat pajêczañski;-;-;-;-;-;-;-;-;-;-;-;-;7;4;6;5;10;5;6;6;4;7
1010000;Powiat piotrkowski;-;-;-;-;-;-;-;-;-;-;-;-;24;16;24;13;22;24;18;24;26;23
1011000;Powiat poddêbicki;-;-;-;-;-;-;-;-;-;-;-;-;6;11;3;9;7;2;15;7;6;2
1012000;Powiat radomszczañski;-;-;-;-;-;-;-;-;-;-;-;-;23;15;13;18;20;18;8;23;18;22
1013000;Powiat rawski;-;-;-;-;-;-;-;-;-;-;-;-;13;6;7;7;7;2;4;9;9;7
1014000;Powiat sieradzki;-;-;-;-;-;-;-;-;-;-;-;-;14;15;17;19;11;7;14;11;14;14
1015000;Powiat skierniewicki;-;-;-;-;-;-;-;-;-;-;-;-;14;8;12;8;5;5;7;2;3;2
1016000;Powiat tomaszowski;-;-;-;-;-;-;-;-;-;-;-;-;18;21;14;12;11;8;13;22;11;7
1017000;Powiat wieluñski;-;-;-;-;-;-;-;-;-;-;-;-;10;15;11;7;6;6;3;4;8;11
